symptoms,severity,max_weight,num_symptoms
"minor mouth ulcer, sneezing, loss of consciousness brief",ORANGE,6,3
"mild cough, mild fatigue, mild body ache",GREEN,2,3
ankle swelling,YELLOW,3,1
"ear pain, skin rash with fever, stuffy nose, animal bite deep, eye injury",ORANGE,5,5
"stab wound, not breathing",RED,7,2
multi organ failure signs,RED,7,1
wheezing,YELLOW,4,1
"broken bone visible, open wound deep, shortness of breath",ORANGE,6,3
"diabetic emergency, seizure single, dry skin, painful urination",ORANGE,6,4
"toothache severe, sore throat with fever",YELLOW,4,2
"dry skin, minor mouth ulcer",GREEN,2,2
"swollen lymph nodes, nausea and vomiting, wheezing, insomnia, minor rash, mild fatigue",YELLOW,4,6
"severe dehydration, choking, septic shock symptoms, muscle cramps, loss of consciousness brief",RED,7,5
"mild bloating, common cold",GREEN,2,2
"seizure single, chemical exposure, confusion, ear pain",ORANGE,6,4
"dandruff, hiccups, paper cut, frequent urination",YELLOW,3,4
"high fever with chills, migraine, chest pain, minor rash",RED,7,4
"minor rash, mild fatigue, mild sunburn",GREEN,2,3
"urinary burning, mild headache, high fever",YELLOW,4,3
"mild itching, minor rash, common cold",GREEN,2,3
"ear pain, vomiting",YELLOW,4,2
"vomiting, mild bloating",YELLOW,4,2
"severe pain, eye injury, seizure single",ORANGE,5,3
"mild constipation, stuffy nose",GREEN,2,2
"hiccups, minor mouth ulcer, dandruff",GREEN,2,3
"difficulty breathing, numbness one side, migraine, dizziness, mild stomach discomfort, loss of consciousness brief",ORANGE,6,6
"stab wound, broken bone visible, painful urination, mild cough",RED,7,4
"hiccups, occasional heartburn, insomnia, skin infection, swollen lymph nodes",YELLOW,3,5
"mild acne, minor rash",GREEN,2,2
"insomnia, difficulty breathing, loss of consciousness prolonged, no pulse detected, frequent urination",RED,7,5
"high fever with chills, eye injury, confusion, stuffy nose",ORANGE,5,4
"mild allergies, gunshot wound, dry skin",RED,7,3
"runny nose, mild sunburn, insomnia",GREEN,2,3
